-40.00001	30.00001	1,1,1-TRICHLOROETHANE	71556	2769
-40.00002	30.00002	1,1-DICHLORO-1-FLUOROETHANE	1717006	9823
-40.00003	30.00003	1,2,4-TRIMETHYLBENZENE	95636	12
-40.00004	30.00004	1,2-PHENYLENEDIAMINE	95545	134
-40.00005	30.00005	1,3-BUTADIENE	106990	4267
-40.00006	30.00006	1,3-PHENYLENEDIAMINE	108452	32411
-40.00007	30.00007	1-CHLORO-1,1-DIFLUOROETHANE	75683	32436
-40.00008	30.00008	2,4-DINITROPHENOL	51285	3
-40.00009	30.00009	4,4'-ISOPROPYLIDENEDIPHENOL	80057	34
-40.0001	30.0001	4-NITROPHENOL	100027	234523
-40.00011	30.00011	ACETALDEHYDE	75070	222
-40.00012	30.00012	ACETONITRILE	75058	345432
-40.00013	30.00013	ACRYLAMIDE	79061	2343
-40.00014	30.00014	ACRYLIC ACID	79107	2
-40.00015	30.00015	ACRYLONITRILE	107131	4
-40.00016	30.00016	AMMONIA	7664417	2
-40.00017	30.00017	ANILINE	62533	3
-40.00018	30.00018	ANTIMONY	7440360	2345
-40.00019	30.00019	ANTIMONY COMPOUNDS	N010	789
-40.0002	30.0002	ARSENIC COMPOUNDS	N020	22435
-40.00021	30.00021	BARIUM	7440393	2345
-40.00022	30.00022	BARIUM COMPOUNDS	N040	2347
-40.00023	30.00023	BENZAL CHLORIDE	98873	7698
-40.00024	30.00024	BENZENE	71432	67
-40.00025	30.00025	BENZOYL PEROXIDE	94360	67
-40.00026	30.00026	BENZYL CHLORIDE	100447	78
-40.00027	30.00027	BORON TRIFLUORIDE	7637072	78
-40.00028	30.00028	BUTYL ACRYLATE	141322	8987
-40.00029	30.00029	CADMIUM COMPOUNDS	N078	789
-40.0003	30.0003	CATECHOL	120809	789
